			აბულაძე
Mt.1-1		Mt.1-1	
წიგნი	NOUN	წიგნ-	
შობისაჲ	NOUN	შობა	
იესუ	NOUN	იესუ	
ქრისტესი,	NOUN	ქრისტე	
ძისა	NOUN	ძე	
დავითისი,	NOUN	დავით-	
ძისა	NOUN	ძე	
აბრაჰამისი.	NOUN	აბრაჰამ-	
Mt.1-2		Mt.1-2	
აბრაჰამ	NOUN	აბრაჰამ-	
შვა	VERB	შევ	შობა
ისაკ;	NOUN	ისაკ-	
ისაკ	NOUN	ისაკ-	
შვა	VERB	შევ	შობა
იაკობ;	NOUN	იაკობ-	
იაკობ	NOUN	იაკობ-	
შვა	VERB	შევ	შობა
იუდა	NOUN	იუდა	
და	CONJ	და	
ძმანი	NOUN	ძმა	
მისნი;	PRON	მის-	
Mt.1-3		Mt.1-3	
ხოლო	CONJ	ხოლო	
იუდა	NOUN	იუდა	
შვა	VERB	შევ	შობა
ფარეზ	NOUN	ფარეზ-	
და	CONJ	და	
ზარა	NOUN	ზარა	
თამარისგან;	NOUN	თამარ-	
და	CONJ	და	
ფარეზ	NOUN	ფარეზ-	
შვა	VERB	შევ	შობა
ესრომ;	NOUN	ესრომ-	
ესრომ	NOUN	ესრომ-	
შვა	VERB	შევ	შობა
არამ;	NOUN	არამ-	
Mt.1-4		Mt.1-4	
არამ	NOUN	არამ-	
შვა	VERB	შევ	შობა
ამინადაბ;	NOUN	ამინადაბ-	
ამინადაბ	NOUN	ამინადაბ-	
შვა	VERB	შევ	შობა
ნაასომ;	NOUN	ნაასომ-	
ნაასომ	NOUN	ნაასომ-	
შვა	VERB	შევ	შობა
სალმონ;	NOUN	სალმონ-	
Mt.1-5		Mt.1-5	
სალმონ	NOUN	სალმონ-	
შვა	VERB	შევ	შობა
ბოოს	NOUN	ბოოს-	
რექაბისგან;	NOUN	რექაბ-	
ბოოს	NOUN	ბოოს-	
შვა	VERB	შევ	შობა
იობედ	NOUN	იობედ-	
რუთისგან;	NOUN	რუთ-	
იობედ	NOUN	იობედ-	
შვა	VERB	შევ	შობა
იესე;	NOUN	იესე	
Mt.1-6		Mt.1-6	
იესე	NOUN	იესე	
შვა	VERB	შევ	შობა
დავით	NOUN	დავით-	
მეფე;	NOUN	მეფე	
დავით	NOUN	დავით-	
მეფემან	NOUN	მეფე	
შვა	VERB	შევ	შობა
სოლომონ	NOUN	სოლომონ-	
ჰურიაჲს	NOUN	ჰურია	
ცოლისაგან;	NOUN	ცოლ-	
Mt.1-7		Mt.1-7	
სოლომონ	NOUN	სოლომონ-	
შვა	VERB	შევ	შობა
რობოამ;	NOUN	რობოამ-	
რობოამ	NOUN	რობოამ-	
შვა	VERB	შევ	შობა
აბია;	NOUN	აბია	
აბია	NOUN	აბია	
შვა	VERB	შევ	შობა
ასა;	NOUN	ასა	
Mt.1-8		Mt.1-8	
ასა	NOUN	ასა	
შვა	VERB	შევ	შობა
იოსაფატ;	NOUN	იოსაფატ-	
იოსაფატ	NOUN	იოსაფატ-	
შვა	VERB	შევ	შობა
იორამ;	NOUN	იორამ-	
იორამ	NOUN	იორამ-	
შვა	VERB	შევ	შობა
ოზია;	NOUN	ოზია	
Mt.1-9		Mt.1-9	
ოზია	NOUN	ოზია	
შვა	VERB	შევ	შობა
იოათამ;	NOUN	იოათამ-	
იოათამ	NOUN	იოათამ-	
შვა	VERB	შევ	შობა
აქაზ;	NOUN	აქაზ-	
აქაზ	NOUN	აქაზ-	
შვა	VERB	შევ	შობა
ეზეკია;	NOUN	ეზეკია	
Mt.1-10		Mt.1-10	
ეზეკია	NOUN	ეზეკია	
შვა	VERB	შევ	შობა
მანასე;	NOUN	მანასე	
მანასე	NOUN	მანასე	
შვა	VERB	შევ	შობა
ამონ;	NOUN	ამონ-	
ამონ	NOUN	ამონ-	
შვა	VERB	შევ	შობა
იოსია;	NOUN	იოსია	
Mt.1-11		Mt.1-11	
იოსია	NOUN	იოსია	
შვა	VERB	შევ	შობა
იექონია	NOUN	იექონია	
და	CONJ	და	
ძმანი	NOUN	ძმა	
მისნი	PRON	მის-	
ტყუეობასა	NOUN	ტყუეობა	
მას	PRON	იგი	
ბაბილოვნელთასა.	NOUN	ბაბილოვნელ-	
Mt.1-12		Mt.1-12	
შემდგომად	NOUN	შემდგომ-	
ტყუეობისა	NOUN	ტყუეობა	
მის	PRON	იგი	
ბაბილოვნისა	NOUN	ბაბილოვნ-	
იექონია	NOUN	იექონია	
შვა	VERB	შევ	შობა
სალათიელ;	NOUN	სალათიელ-	
სალათიელ	NOUN	სალათიელ-	
შვა	VERB	შევ	შობა
ზორობაბელ;	NOUN	ზორობაბელ-	
Mt.1-13		Mt.1-13	
ზორობაბელ	NOUN	ზორობაბელ-	
შვა	VERB	შევ	შობა
აბიოდ;	NOUN	აბიოდ-	
აბიოდ	NOUN	აბიოდ-	
შვა	VERB	შევ	შობა
ელიაკიმ;	NOUN	ელიაკიმ-	
ელიაკიმ	NOUN	ელიაკიმ-	
შვა	VERB	შევ	შობა
აზორ;	NOUN	აზორ-	
Mt.1-14		Mt.1-14	
აზორ	NOUN	აზორ-	
