a უჟეჟთაეს-	höchster
არასადა	niemals; nirgends
ნუსადა	vielleicht, damit nicht etwa; etwa, denn
ზედაჲსზედა	hintereinander, nacheinander, oft
მანდა	da, dort
გარდა	außer, ohne
ვითა	wie
ჟეჟთა	über, oben; über, oben
დია	sehr, überaus
წამოღმა	hierher; hierher
თანაჲსთანა	beisammen, nebeneinander
ოსსანა	Hosianna
ჵსანა	Hosianna; Hosanna
მეყუსა შინა	sofort, plötzlich; sofort, plötzlich
მეყსა შინა	sofort, plötzlich
მეჴსა შინა	sofort, plötzlich; sofort, plötzlich
მას შინა	dann, damals
თუ არა	sonst
მაგრა	aber, doch
ეგერა	dort, da
აჰა ეგერა	da, sieh da, siehe
ჰასერა	sieh, da
აჰა ესერა	da, sieh da, siehe
დღითშუა	jeden zweiten Tag
აქა	hier, hierher
შარშა	im vergangenen Jahr
წუთხა	nur noch ein wenig; bald; nur noch ein wenig; bald
ჰურიელებ	judenähnlich
უდბად	vergebens, umsonst, faul
ისეკალიბად	so, solcherart
ზოვგად	zusammen; zusammen
წელიწადითი წელიწადად	von Jahr zu Jahr, jedes Jahr, jährlich
მუჴლედად	ohne Pause, ohne auszuruhen
მედად	kostenlos, vergebens
ჴელცუდად	umsonst, vergebens
თავად-თავად	bis zu Ende, voll
წასანახავად	zu erblicken
უკითხავად	ohne zu fragen, herrenlos
ჴევად-ჴევად	Schlucht für Schlucht
ძმებრივად	brüderlich
განრჩევითად	deutlich
განთიად-განთიად	jeden Morgen
უნებლიად	unwillkürlich
ნელიად-ნელიად	langsam, ruhig
მართლიად	wirklich, zu Recht
მრგულიად	rund, ganz
ღრმიად	tief, grundlegend
ნიად	etwas, ein wenig
ძნიად-ძნიად	sehr schwierig
ბრიად	ganz, völlig
მებრიად	völlig, vollkommen
მაგრიად	sehr, stark
მძაფრიად	stark
ტფიად	warm
ჴშიად	dick
გრძიად	lang
ბანაკად-ბანაკად	in einzelnen Gruppen / Trupps
თანაწარუალად	unbedingt; unbedingt
უგრძნებლად	plötzlich, unerwartet
განუპატიჟებლად	unbestraft
საპყრობლად	gefangenzunehmen; als Besitz
უიძულებელად	ohne Gewaltanwendung, freiwillig
მიუახლებელად	fern, ungenähert
უბრძანებელად	ohne Befehl
სახელმოუჴსენებელად	unerwähnt, vergessen
განუშუენებელად	unverschönt
გულგანურინებელად	friedlich, ruhig
წარმოსაჩინებელად	um zu offenbaren, um zu zeigen
შესაცთუნებელად	zu verführen
არააღსაშჱნებელად	zu vernichten, zu zerstören
უდროებელად	sofort, unverzüglich
დაუდროებელად	sofort, ohne Verzug
მოუმედგრებელად	fleißig
სამეუფებელად	als Herrschaftsgebiet, zur Herrschaft
სულუკმოუღებელად	ohne zu atmen
სულუკუუღებელად	ohne auszuatmen
უთმობელად	unerträglich
მოუწყუედელად	ununterbrochen
თუალთსაჴდელად	zur Verminderung des Augenlichts
დაუხრწეველად	ungehemmt, ungehindert
წინდასაცველად	zu schützend, zu verteidigend
განურისხველად	friedlich
შესასწავლელად	kennenzulernen
წიაღუვლელად	ohne zu überqueren
თავყანისსაცემელად	zu verehrend
წინააღსადგომელად	gegen
წინადაუდგომელად	ohne Widerstand
დაუვრდომელად	fest, unerschütterlich
უსუმელად	ohne zu trinken
დაუნთქმელად	ohne zu sinken, unversehrt
აღჳრსასხმელად	zu zügeln, zu zäumen
თანააღსარევნელად	zu vermischend
უტკივნელად	ruhig, nicht erregt
უცონელად	fleißig
დაუცონელად	fleißig
უვეჭუელად	zweifellos, wirklich
სახელად-სახელად	nach den Namen
ადგილითი ადგილად	hier und da, stellenweise
წულილ-წულილად	ganz klein
უცონილად	fleißig; fleißig
ბევრნაწილად	in vielen Teilen
შჳდწილად	siebenfach; siebenfach
მრავალწილად	oftmals, vielmals
სამწილად	dreifach
ათასწილად	tausendfach
დღესასწაულად-დღესასწაულად	an jedem Feiertag
ყუავილშეზავებულად	den Blüten entsprechend
წარტევებულად	frech, dreist
შეგუვებულად	entsprechend, angemessen
უძაგულად	nicht verabscheuend
ნებეულად	freiwillig
ანასდეულად	plötzlich
ასოეულად	stückweise, in Stücke
პაპისპაპეულად	der Herkunft nach
მეჴსეულად	plötzlich, sofort, eiligst; plötzlich, sofort, eiligst
შოლტეულად	als Peitschen, peitschenförmig
მიმოქცეულად	unregelmäßig gewunden / geschlängelt
უბრძნულად	dumm
უგრძნულად	plötzlich
არაშეძრულად	reglos, bewegungslos
ხანგრძლად	lang, langandauernd
წლითიწლად	alljährlich
სახლითი სახლად	von einem Haus ins andere
სახლად-სახლად	Haus für Haus, Familie für Familie
ფიცხლად	wütend, grausam
წრჳლ-წრჳლად	ganz klein; ganz klein
ერთბამად	zusammen
ჟამითი ჟამად	ab und zu
ჟამად-ჟამად	von Zeit zu Zeit, ab und zu
შემდგომითი შემდგომად	der Reihe nach, in Reihenfolge
ტომად-ტომად	stammesweise, volksweise, nach Stämmen / Völkern
მისგანად	deswegen, darum
ამისგანად	deshalb, deswegen, darum
ნაკადულეანად	quellbachähnlich
არვეოანად	in Scharen, in Gruppen
გროანად	als Schar
თეთროანად	weiß
ხანითი ხანად	von Zeit zu Zeit, ab und zu
ხანად-ხანად	von Zeit zu Zeit
კიდეგნად	einzeln
მოთხვითოვნად	viereckig
ადგილოვნად	örtlich, ansässig
მრავალნაწილოვნად	verworren, kompliziert
წყაროვნად	quellengleich
ახოვნად	tatkräftig, tapfer
ზჳნ-ზჳნად	haufenweise, schoberweise
მებრად	völlig, vollkommen, nur; völlig, vollkommen, nur
მწყობრად-მწყობრად	reihenweise, gruppenweise
წამკადრად	frech, dreist
საქმიერად	durch Arbeit
შოვრად	fern, lange
შჳდპირად	in sieben Reihen
ანტაკრად	gegen
ძმებურად	brüderlich
გაუქლეშრად	unzerstört, unversehrt
უფიცრად	ohne zu schwören, aufrichtig
დორიასად	kostenlos
უიშჳთესად	äußerst selten
უბრკინვალესად	überaus glänzend
უმოცალესად	überaus ausführlich
უცნობაკეთილესად	überaus verständig
უზედმიწევნილესად	überaus genau
უშემოკლებულესად	überaus kurz
უმკჳრცხლესად	äußerst schnell
უმტკივანესად	äußerst mitfühlend
უმოქენესად	mit flehentlichem Bitten
უჯეროვნესად	überaus angemessen
უგულსმოდგინესად	mit größerer / größter Bereitschaft
უკადნიერესად	sehr wagemutig
უსახიერესად	äußerst gütig
ულაღესად	überaus dreist
სამარისმსგავსად	grabähnlich
აღარსად	nirgends mehr
უბრკინვალჱსად	überaus glänzend
ჰუმეტჱსად	mehr, am meisten
უჭეშმარიტჱსად	völlig wahr
თჳს-თჳსად	einzeln, für sich
ბურქუად-ბურქუად	in Rauchschwaden
ორნაკეცად	doppelt
ოთხნაკეცად	vierfach
უხუეჭად	gerecht, unbestechlich, uneigennützig
მჭირსიედ	mühsam, mühevoll, fleißig
ფრთემალედ	schnell
მოკჳრნედ	verwundert, schweigend
მეოხნედ-მეოხნედ	gruppenweise
მღონარედ	krumm, gebeugt
მცირედ-მცირედ	ein wenig, nach und nach, allmählich
მცირე-მცირედ	ein wenig, nach und nach, allmählich; ein wenig, nach und nach, allmählich
ცრემლსავსედ	in großer Trauer
ვითარცასახედ	wie
ეგრევესახედ	genauso, ähnlich
ესრეთვესახედ	genauso, ebenso
ეგრესახედ	so
ესრესახედ	so
ვითარსახედ	wie
ქრისტესსახედ	wie Christus
მართებისსახედ	richtig
ჩუქებისსახედ	schenkungsgleich, schenkungsähnlich
მპარვობისსახედ	diebisch
ლაღობისსახედ	scherzend
ტბისსახედ	seeähnlich
კითხვისსახედ	fragend
ბანაკისსახედ	gruppenweise
კუამლისსახედ	rauchartig
ფრთოვნისსახედ	vogelähnlich
კამარისსახედ	bogenförmig, bogenartig
მდინარისსახედ	flußähnlich
მთუარისსახედ	mondgleich
დამხედ	hinab, abwärts, bäuchlings
ადგიდ-ადგიდ	hier und da, stellenweise
უთავსმდებოდ	ohne Vermittlung, ohne es zu übernehmen
უზრდოდ	ohne Nahrung
უზღვეოდ	straflos, ohne Bestrafung, kostenlos
უღონეოდ	unbedingt
უიგავოდ	ohne Gleichnis, direkt
უამათოდ	ohne sie / diese
უმათოდ	ohne sie
უჴელთოდ	nicht in der Gewalt
უშფოთოდ	ruhig, still
უნაკოდ	restlos
უსაგებლოდ	ohne Bett, ohne Bettwäsche
საგრძელოდ	für / auf lange Zeit
უსაშოვლოდ	unmittelbar
უსაშუვლოდ	unmittelbar
უჴელწერილოდ	ohne schriftliches übereinkommen
უღარღილოდ	ohne Unterbrechung
ხოლოდ	aber
უმახჳლოდ	ohne Schwert, ohne Waffe
უნუგეშინისცემოდ	untröstlich, verzweifelt
უმოგუმოდ	dumm, einfältig
საუდაბნოდ	für den Aufenthalt in der Einöde
უპატიჟოდ	ohne Strafe
სანებიეროდ	wünschenswert
უსეროდ	ohne Abendbrot
უმშჯავროდ	ungerecht
უწინამძღუროდ	ohne Lehrer
უთანაღროდ	ohne Reue
ასო-ასოდ	stückweise, in Stücke
საკნინისოდ	zu erniedrigend
უკლიტოდ	ohne Schlüssel
უვახშოდ	zinslos, ohne Zins
უსაეჭოდ	zweifellos
ზეგე	übermorgen
კიდე-კიდე	abseits, entfernt, einzeln, getrennt, für sich
კიდეს-კიდე	abseits, entfernt, einzeln, getrennt, für sich; abseits, entfernt, einzeln, getrennt, für sich
მოაქაჟამამდე	bis zu dieser Zeit
უკუნითი უკუნისამდე	von Ewigkeit zu Ewigkeit, für immer
აწისამდე	bis zu dieser Zeit
მოდღენდელად დღედმდე	bis zum heutigen Tag
მოაქადღედმდე	bis heute
