მეერთისა	Pantokrator
შარაბ-ი	[Bedeutung unklar]
გძღაბ-ი	Igel; Igel
სინჯაბ-ი	Eichhörnchen
თანამგებ-ი	antwortend
მონაგდებ-ი	frühgeboren, Frühgeburt
ნაცოდვებ-ი	Sünde
მწინაჲსწარმეტყუელებ-ი	Prophet
თავობისმნებ-ი	herrschsüchtig, Karrierist
ნაანგაჰრებ-ი	an sich gerissen, erworben
მჭეშმარიტებ-ი	wahrheitssagend, wahrhaftig
შემტყუებ-ი	begreifend, verstehend, erkennend
გარემძებ-ი	Vertriebener, Flüchtling
ნავასხებ-ი	geliehen, entliehen, Kredit
ესეკალიბ-ი	so ein, solch
მგუერდობ-ი	Anverwandter
ნაწდობ-ი	gestählt, gehärtet
მღამეობ-ი	Fledermaus; Fledermaus
აღმსთობ-ი	früh aufgestanden, früh aufstehend
მგლახაკობ-ი	arm
მპირველობ-ი	Gehilfe des Steuermanns
მსნეულობ-ი	Kranker
მჴედართმფლობ-ი	Heerführer, Feldherr
მსამობ-ი	an dritter Stelle rangierender Truppendienstgrad
მღამობ-ი	Fledermaus; Fledermaus
თანამჴმობ-ი	einverstanden
მედნობ-ი	schmelzend, vergehend
მმისნობ-ი	falscher Prophet
კჳნობ-ი	Mönchszelle, Gemeinschaftsraum
მღამოობ-ი	Fledermaus
მმიმოობ-ი	Gaukler
მსაქმიერობ-ი	arbeitend
პირველმთავრობ-ი	oberster Verwalter
მმთავრობ-ი	Führer, Anführer
განმმსტრობ-ი	Späher, Spion
ჴელისსაპყრობ-ი	in der Hand zu haltend; Schwert
საჭეთმპყრობ-ი	Steuermann
მძჳრობ-ი	Verbrecher, übeltäter
მჭჳრობ-ი	sehend
მთჳსობ-ი	Nächster, Verwandter
მმეფობ-ი	König
წინაგანმწყობ-ი	Widersacher, Gegner
თანანაშობ-ი	ähnlich geboren
ნაშობისნაშობ-ი	Nachkomme
წუმწუბ-ი	Schwefel
წუნწუბ-ი	Schwefel; Schwefel
ჰროარდაგ-ი	Sendschreiben, Befehl
ქარდაგ-ი	[Bedeutung unklar]
ნოაგ-ი	Stimme, Klang, Melodie, Gesang; Stimme, Klang, Melodie, Gesang
შივშაგ-ი	Duftstoffgefäß, Duftfläschchen
თუედადეგ-ი	Monatsanfang
ზოგისზოგ-ი	Hälfte
თანანერგ-ი	verwandt
ჴშირადნერგ-ი	dicht gepflanzt, dicht gewachsen
განმზადებად-ი	vorzubereitend
გამოცხადებად-ი	zu erscheinend
მოლოდებად-ი	zu erwartend
დაძუელებად-ი	alt zu werdend
დაბრკოლებად-ი	zu irrend, zu verführend
განშიშულებად-ი	entblößbar
წამებად-ი	zu folternd, zu marternd
დაყენებად-ი	zu ernennend, zu berufend
ვნებად-ი	zu schädigend
ცხოვნებად-ი	zu erlösend, zu rettend
დაცჳვნებად-ი	zu fallend
დაბერებად-ი	zu alternd
ცხოვრებად-ი	zu erlösend, zu rettend
განშორებად-ი	entfernbar
წარმატებად-ი	erfolgsträchtig
დადნობად-ი	zu schmelzend
დაჭნობად-ი	zu verwelkend
დალპობად-ი	zu faulend
ჴმეად-ი	ungesäuertes Brot
თავად-თავად-ი	jeder einzelne
დარღუევად-ი	zu zerstörend, zu zerrüttend
შემთხუევად-ი	zu begegnend, zu erleidend
მიმოდაქცევად-ი	umgebogen, hin- und hergebogen
მიმოდქცევად-ი	hin- und hergebogen, krumm
მოკლვად-ი	zu tötend
ვლტოლვად-ი	wovor man flüchten muß
თჳთძრვად-ი	selbstlaufend, selbstfahrend
განკუეთად-ი	abzuschneidend, abzutrennend
წუთად-ი	kurzzeitig
ნელიად-ი	langsam, ruhig
სრულიად-ი	ganz, vollständig
ღრმიად-ი	tief, schwer verständlich
მძაფრიად-ი	stark
გრძიად-ი	lang
საკჳრველად-ი	erstaunlich, wunderbar
ჴორციელად-ი	fleischlich, körperlich
ჴელისჴელად-ი	Lohn, Vergütung; gewöhnlich
განსწავლად-ი	zu erlernend
ადგილად-ადგილად-ი	örtlich
თესლად-ი	zu säend
თესლად-თესლად-ი	verschieden, unterschiedlich
წლითიწლად-ი	alljährlich
სახლად-ი	Haus, Familie
დაცემად-ი	zu stürzend, zu zerstörend
მიცემად-ი	hinzugebend
მოცემად-ი	zu gebend
წინააღდგომად-ი	Gegen-, gegenteilig
დაშდომად-ი	zu bleibend
ტომად-ი	Landsmann
ტომად-ტომად-ი	stammesweise, volksweise
განძღომად-ი	sattmachend
თქუმად-ი	zu sagend
ჴელთდასხმად-ი	einzusetzend, festzulegend
ზრზენად-ი	aufhetzend, aufstachelnd
გამოჴსნად-ი	zu erlösend, zu befreiend, zu helfend
ფსალმუნ-ფსალმუნად-ი	Psalm für Psalm (gesungen)
განრყუნად-ი	zu verderbend
ძჳრ-ძჳრად-ი	überaus grausam
ბურქუად-ბურქუად-ი	Rauchschwaden
სათნოყოფად-ი	gefällig
ქაღად-ი	Papier
კაცად-ი	ein jeder
მოწად-ი	wünschend
ძნელბედ-ი	armselig, notleidend
წაღმართმორბედ-ი	geradeausgehend, auf dem richtigen Weg wandelnd
მიმორბედ-ი	hin- und herrennend
მკჳრცხლმორბედ-ი	zu Fuß laufend / rennend
გძიდედ-ი	verlängert
პილოჲსძუალედ-ი	aus Elfenbein
ჭალედ-ი	mit Gerüststäben (für eine Dachplane) versehen
ოთხკედლედ-ი	Vierseiter
მრავალმუჴლედ-ი	ausführlich, vielteilig
ნოაგთმოქმედ-ი	Koch
ჴელითმოქმედ-ი	Arbeiter, Handwerker
ჴელოვნებისმოქმედ-ი	Handwerker
გრძნებისმოქმედ-ი	Hexe, Zauberer
ნავისმოქმედ-ი	Schiffbauer
ნელსაცხებლისმოქმედ-ი	Spezereienzubereiter
ქველისმოქმედ-ი	Barmherzigkeit übend
კეთილისმოქმედ-ი	wohltätig, Gutes tuend
წინააღდგომისმოქმედ-ი	Gegner, Widersacher
