# მეერთისა	Z	N	N	Pantokrator
გძღაბ-ი	A	N		Igel; Igel
სინჯაბ-ი	A	N		Eichhörnchen
მონაგდებ-ი	A	NA		frühgeboren, Frühgeburt
ნაცოდვებ-ი	A	N		Sünde
მწინაჲსწარმეტყუელებ-ი	A	N	A	Prophet
თავობისმნებ-ი	A	NA	A	herrschsüchtig, Karrierist
გარემძებ-ი	A	N	A	Vertriebener, Flüchtling
ნავასხებ-ი	A	NA		geliehen, entliehen, Kredit
მგუერდობ-ი	A	N	A	Anverwandter
მღამეობ-ი	A	N		Fledermaus; Fledermaus
მპირველობ-ი	A	N	A	Gehilfe des Steuermanns
მსნეულობ-ი	A	N	A	Kranker
მჴედართმფლობ-ი	A	N	A	Heerführer, Feldherr
მსამობ-ი	A	N		an dritter Stelle rangierender Truppendienstgrad
მღამობ-ი	A	N		Fledermaus; Fledermaus
მმისნობ-ი	A	N	A	falscher Prophet
კჳნობ-ი	A	N		Mönchszelle, Gemeinschaftsraum
მღამოობ-ი	A	N		Fledermaus
მმიმოობ-ი	A	N	A	Gaukler
პირველმთავრობ-ი	A	N	A	oberster Verwalter
მმთავრობ-ი	A	N	A	Führer, Anführer
განმმსტრობ-ი	A	N	A	Späher, Spion
ჴელისსაპყრობ-ი	A	N		in der Hand zu haltend; Schwert
საჭეთმპყრობ-ი	A	N	A	Steuermann
მთჳსობ-ი	A	N	A	Nächster, Verwandter
მმეფობ-ი	A	N	A	König
წინაგანმწყობ-ი	A	N	A	Widersacher, Gegner
ნაშობისნაშობ-ი	A	N	A	Nachkomme
წუმწუბ-ი	A	N		Schwefel
წუნწუბ-ი	A	N		Schwefel; Schwefel
ჰროარდაგ-ი	A	N		Sendschreiben, Befehl
ნოაგ-ი	A	N		Stimme, Klang, Melodie, Gesang; Stimme, Klang, Melodie, Gesang
შივშაგ-ი	A	N		Duftstoffgefäß, Duftfläschchen
თუედადეგ-ი	A	N		Monatsanfang
ზოგისზოგ-ი	A	N		Hälfte
ჴმეად-ი	A	N		ungesäuertes Brot
ჴელისჴელად-ი	A	N		Lohn, Vergütung; gewöhnlich
სახლად-ი	A	N		Haus, Familie
ტომად-ი	A	N	A	Landsmann
ბურქუად-ბურქუად-ი	A	N		Rauchschwaden
ქაღად-ი	A	N		Papier
პილოჲსძუალედ-ი	A	N		aus Elfenbein
ოთხკედლედ-ი	A	N		Vierseiter
ნოაგთმოქმედ-ი	A	N	A	Koch
ჴელითმოქმედ-ი	A	N	A	Arbeiter, Handwerker
ჴელოვნებისმოქმედ-ი	A	N	A	Handwerker
გრძნებისმოქმედ-ი	A	N	A	Hexe, Zauberer
ნავისმოქმედ-ი	A	N	A	Schiffbauer
ნელსაცხებლისმოქმედ-ი	A	N	A	Spezereienzubereiter
წინააღდგომისმოქმედ-ი	A	N	A	Gegner, Widersacher
ქუეყანისმოქმედ-ი	A	N	A	Bodenbearbeiter, Bauer
პურისმოქმედ-ი	A	N	A	Bäcker
პილენძისმოქმედ-ი	A	N	A	Kupferschmied
თიჴისმოქმედ-ი	A	N	A	Töpfer
ჯაჭჳსმოქმედ-ი	A	N	A	Waffenhersteller
ჴბოვრედ-ი	A	NA		Kalbs-, mit einem Kalb
სამქორედ-ი	A	N		drittes Stockwerk
ოქროაღჳრედ-ი	A	NA		mit goldenem Zaumzeug
მკედისნაწყუედ-ი	A	N		Fadenstück
სამშუედ-ი	A	N		Busch einer Pflanze mit drei zusammenstehenden Dornen, Tribolos
რიცხუედ-ი	A	N		Gezähltes, rhythmische Sprache
ქედ-ქედ-ი	A	N		großer Berg
ოქრობეჭედ-ი	A	N		goldener Ring
ადგიდ-ადგიდ-ი	A	N		Stellen, Orte
მუცელდიდ-ი	A	NA	A	Großbäuchiger
კეთილდიდ-ი	A	A		reich, voller Güte
სხეულდიდ-ი	A	A		von großem Körperbau
სკალიდ-ი	A	N		Spaten
ყრმიდ-ი	A	N	A	junge Frau
ქლანიდ-ი	A	N		Chlamys; Chlamys
სფჳრიდ-ი	A	N		Korb
სამარიტიდ-ი	A	N	A	Samariterin
ავანდ-ი	A	N		Gesetz, Tradition
მეჰევანდ-ი	A	N		Halskette, Kette; Ring
ერებინდ-ი	A	N		Erbse
თანაგუნდ-ი	A	N	A	Gruppenkamerad
ხლამჳნდ-ი	A	N		Chlamys
მგუერდ-ი	A	N		Seite, Hang; Maß; Rippe
მგრძნებავ-ი	A	N	A	Zauberer
პორფირისმღებავ-ი	A	N	A	Rotfärber
ანბავ-ი	A	U		Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
ჰანბავ-ი	U	N		Geschichte, Sache, Angelegenheit, Nachricht, Gerücht; Geschichte, Sache, Angelegenheit, Nachricht, Gerücht
ურთავ-ი	A	N		Torflügel
ერისთავთ-ერისთავ-ი	A	N	A	Oberster Heerführer (georg. Titel)
დასისთავ-ი	A	N	A	Militärführer, Chorleiter
სუეტისთავ-ი	A	N		Kapitell
წყაროჲსთავ-ი	A	N		Quelle
კუროჲსთავ-ი	A	N		Dornstrauch
თთჳსთავ-ი	A	N		Monatsbeginn
კუროჲთავ-ი	A	N		Dornstrauch; Dornstrauch
მზუელავ-ი	A	N	A	Schauspieler, Nachahmer
ნაღელავ-ი	A	N		Welle, Woge
თუალთსაოლავ-ი	A	N		Augentusche
ვასკულავ-ი	A	N		Stern; Stern
მოჭრტინავ-ი	A	N	A	Kläger
მიმომწლონავ-ი	A	N	A	Ausführender eines Gerichtsurteils; umherlungernd
მოდრტჳნავ-ი	A	N	A	Kläger
ზოპავ-ი	A	N		Ysop; Weihwedel
მზოპავ-ი	A	N	A	Lügner, Prahler
თუალჟივჟავ-ი	A	A		mit scheckigen Augen
მჰაზრავ-ი	A	N	A	Wahrsager
მრგულიადშესაწირავ-ი	A	N		Opfer
ფასისშესაწირავ-ი	A	N		Geldopfer
თავუბურავ-ი	A	A		mit unverhülltem Kopf
უცხონათესავ-ი	A	N	A	Ausländer, Fremdstämmiger
ნალესავ-ი	A	N		Rückstand vom Schleifen
წიგნისტყავ-ი	A	N		Pergament
თხისტყავ-ი	A	N		Jacke aus Ziegenfell
ხილისსაცავ-ი	A	N		Zelt / Hütte der Obsthüter
ფასისსაცავ-ი	A	N		Vorratslager
ულოცავ-ი	A	N		ohne Gebet
შემომზრახავ-ი	A	N	A	Besprecher
ქალდევ-ი	A	N	A	Chaldäer, chaldäischer Priester
ნაცოდევ-ი	A	N		Sünde
მკურისკევ-ი	A	N		Harz
ნაკაცევ-ი	A	N	A	ehemaliger Mensch
წურილმოქცევ-ი	A	N		Komma, Beistrich
შჳდეულისმოქცევ-ი	A	N		Woche
მჴევ-ი	A	N		Schlucht, Tal; Schlucht, Tal
მკლველებრივ-ი	A	A		Mörder-
მონებრივ-ი	A	A		Sklaven-, Diener-
ჰაერებრივ-ი	A	A		luftig, Luft-
პირუტყუებრივ-ი	A	A		tierisch, wie Nichtsprechende; tierisch, wie Nichtsprechende
მეუფებრივ-ი	A	N		Reich, Königreich
ერისკაცობრივ-ი	A	N		bürgerlich, Bürger-
სწორპატივ-ი	A	N		gleiche Verehrung, gleiche Würde
კუვ-ი	A	N		Schildkröte; Schildkröte
ზეეზ-ი	A	N		kostbarer Stoff, Byssos
სპანქრეზ-ი	A	N		Brötchen
ქარტეზ-ი	A	N		Pergament
მჴეცთევზ-ი	A	N		Raubfisch, Fischbestie
ფარაოზ-ი	A	N		Leuchtturm
სინგელოზ-ი	A	N	A	Synkellos, Helfer oder Stellvertreter eines kirchlichen Würdenträgers
ფანოზ-ი	A	N		große Leuchte; große Leuchte
სჳნდიკნოზ-ი	A	N	A	Mutter des getauften Kindes
კჳპაროზ-ი	A	N		Zypresse; Zypresse
სინკლიტოზ-ი	A	N	A	Senat(smitglied)
ანდერზ-ი	A	N		Vermächtnis; Vorwort, Nachwort, Zusatz; Vermächtnis; Vorwort, Nachwort, Zusatz
ნათ-ი	A	N		Licht
სასარკინოზეთ-ი	A	N	G	Arabien
მაკედონიეთ-ი	A	N	A	Makedonier
აღმოსავალეთ-ი	A	N		Osten
სიკარეთ-ი	A	N	A	Räuber
ზოგებით-ი	A	A		teilweise, Teil-
თუალმორიდებით-ი	A	A		mit schlechtem Augenlicht
ქალწულებით-ი	A	A		ohne Gatten
თესლოვანებით-ი	A	A		Samen-
თესლოვნებით-ი	A	A		Samen-; Samen-
მონაზონებით-ი	A	A		Mönch-, Nonnen-
მეუდაბნოებით-ი	A	A		Eremiten-
ძმათმოყუარებით-ი	A	N		Bruderliebes-
მოღუაწებით-ი	A	A		Fürsorge-, Betreuungs-
შობისდღითობით-ი	A	A		Geburtstags-
მკურნალობით-ი	A	A		Arzt-, ärztlich, Heil-
მღერალობით-ი	A	A		zur Unterhaltung
თჳთმხილველობით-ი	A	A		Augenzeugen-
სადღესასწაულობით-ი	A	A		Feiertags-
მოსაჯულობით-ი	A	A		Anklage-
სამღდელოობით-ი	A	A		Priester-
სასძლოობით-ი	A	N		Lobpreisung der Muttergottes
მღდელთმთავრობით-ი	A	N		Bischofs-
თანამოსუმურობით-ი	A	N		Zech-
მწყემსობით-ი	A	A		Hirten-
თანაგანმზრახობით-ი	A	N		ratgeberisch, Verhandlungs-
დასავალით-ი	A	N		Westen
აღმოსავლით-ი	A	N		Osten; Osten
სასთუნლით-ი	A	N		Kopfseite
სიყუარულით-ი	A	A		Liebes-
ცოდვისაძლით-ი	A	N		Opfer zur Vergebung der Sünden
ჯმნით-ი	A	N		Abschiedsgruß
სომხით-ი	A	N	G	Armenien; Armenien
ფსანთ-ი	A	N		Bastmatte; Bastmatte
აფსინთ-ი	A	N		Wermut; Wermut
ელამოთ-ი	A	N		Vorraum (der Kirche)
სახარებისამიმართ-ი	A	A		Evangelien-
მომართ-ი	A	N		Frage
ევფუთ-ი	A	N		Priestergewand; Priestergewand
სიტყჳთ-ი	A	A		mit Worten, in Worten
ტრედაკ-ი	A	N		Täubchen
ჰროარდაკ-ი	A	N		Sendschreiben, Befehl; Sendschreiben, Befehl
გოზაკ-ი	A	N		Becher; Becher
ნიგუზაკ-ი	A	NA		nußförmig(e Schale); nußförmig(e Schale)
ხარტოფილაკ-ი	A	N	A	Bibliothekar; Bibliothekar
დისწულაკ-ი	A	N	A	kleiner Neffe, kleine Nichte
ძმისწულაკ-ი	A	N	A	kleiner Neffe, kleine Nichte
ყრმაკ-ი	A	N	A	Kleinkind, Kindchen
ჰეშმაკ-ი	A	N	A	Teufel, Satan, böser Geist, Dämon; Teufel, Satan, böser Geist, Dämon
პალატ-ბანაკ-ი	A	N		Königshof
წუენაკ-ი	A	N		Süppchen
ტომარაკ-ი	A	N		Handschriftenkodex; Beutel, Sack
ჰურაკპარაკ-ი	A	N		Platz, Straße
სტავრაკ-ი	A	N		ein kostbarer Stoff, Brokat
სტჳრაკ-ი	A	N		Gummi(baum)
ჰროვარტაკ-ი	A	N		Sendschreiben, Befehl; Sendschreiben, Befehl
ჰროარტაკ-ი	A	N		Sendschreiben, Befehl; Sendschreiben, Befehl
შოშაკ-ი	A	N		Trense
თანამუშაკ-ი	A	N	A	Mitarbeiter
კუარცხბეკ-ი	A	N		Podest, Schemel; Podest, Schemel
სპონდიკ-ი	A	N		leichter Baustein
უჟიკ-ი	A	N	A	Meder
არქიმანდრიკ-ი	A	N	A	Klostervorsteher, Abt, Archimandrit; Klostervorsteher, Abt, Archimandrit
პავასიკ-ი	A	N		Beutel, Tasche
პაჲვასიკ-ი	A	N		Beutel, Tasche
