მეერთისა	Pantokrator
გძღაბ-ი	Igel; Igel
სინჯაბ-ი	Eichhörnchen
მონაგდებ-ი	frühgeboren, Frühgeburt
ნაცოდვებ-ი	Sünde
მწინაჲსწარმეტყუელებ-ი	Prophet
თავობისმნებ-ი	herrschsüchtig, Karrierist
გარემძებ-ი	Vertriebener, Flüchtling
ნავასხებ-ი	geliehen, entliehen, Kredit
მგუერდობ-ი	Anverwandter
მღამეობ-ი	Fledermaus; Fledermaus
მპირველობ-ი	Gehilfe des Steuermanns
მსნეულობ-ი	Kranker
მჴედართმფლობ-ი	Heerführer, Feldherr
მსამობ-ი	an dritter Stelle rangierender Truppendienstgrad
მღამობ-ი	Fledermaus; Fledermaus
მმისნობ-ი	falscher Prophet
კჳნობ-ი	Mönchszelle, Gemeinschaftsraum
მღამოობ-ი	Fledermaus
მმიმოობ-ი	Gaukler
პირველმთავრობ-ი	oberster Verwalter
მმთავრობ-ი	Führer, Anführer
განმმსტრობ-ი	Späher, Spion
ჴელისსაპყრობ-ი	in der Hand zu haltend; Schwert
საჭეთმპყრობ-ი	Steuermann
მთჳსობ-ი	Nächster, Verwandter
მმეფობ-ი	König
წინაგანმწყობ-ი	Widersacher, Gegner
ნაშობისნაშობ-ი	Nachkomme
წუმწუბ-ი	Schwefel
წუნწუბ-ი	Schwefel; Schwefel
ჰროარდაგ-ი	Sendschreiben, Befehl
ნოაგ-ი	Stimme, Klang, Melodie, Gesang; Stimme, Klang, Melodie, Gesang
შივშაგ-ი	Duftstoffgefäß, Duftfläschchen
თუედადეგ-ი	Monatsanfang
ზოგისზოგ-ი	Hälfte
ჴმეად-ი	ungesäuertes Brot
ჴელისჴელად-ი	Lohn, Vergütung; gewöhnlich
სახლად-ი	Haus, Familie*sh 
ტომად-ი	Landsmann
ბურქუად-ბურქუად-ი	Rauchschwaden
ქაღად-ი	Papier
პილოჲსძუალედ-ი	aus Elfenbein
ოთხკედლედ-ი	Vierseiter
ნოაგთმოქმედ-ი	Koch
ჴელითმოქმედ-ი	Arbeiter, Handwerker
ჴელოვნებისმოქმედ-ი	Handwerker
გრძნებისმოქმედ-ი	Hexe, Zauberer
ნავისმოქმედ-ი	Schiffbauer
ნელსაცხებლისმოქმედ-ი	Spezereienzubereiter
წინააღდგომისმოქმედ-ი	Gegner, Widersacher
ქუეყანისმოქმედ-ი	Bodenbearbeiter, Bauer
პურისმოქმედ-ი	Bäcker
პილენძისმოქმედ-ი	Kupferschmied
თიჴისმოქმედ-ი	Töpfer
