უჟეჟთაეს-	höchster
აბა	na, los, nun, ja
ჰაბა	na, los, nun, ja
ვაება	klagen, trauern
დაქვაება	steinigen
ჰურიაება	ungläubig sein, dem jüdischen Glauben anhängen
ვალალაება	trauern, klagen
კმაება	genügen
წართანაება	hinzufügen
მიგებება	begegnen, empfangen
წინამიგებება	empfangen, begegnen
მოგებება	empfangen, begegnen
გამოგებება	entgegenkommen
წინამოგებება	treffen, begegnen
დალებება	blau färben
დაუძლებება	schwängern
ნებება	wünschen
შეწებება	vereinen, verknüpfen
შემოწებება	zusammenkleben, zusammenfügen, schließen
აღწებება	ankleben, andrücken
დასულბება	Besinnung verlieren, erschlaffen, sich wundern
შესულბება	sich fürchten, staunen, verblüfft sein
მშჳდობება	still sein, ruhig sein
აღკელობება	hinken lassen, lahm machen
ცნობება	benachrichtigen, mitteilen
მიჭარბება	übertreffen
დაგუბება	aufstauen, stauen
მოღრუბება	bewölken
შეტყუბება	umarmen, an sich ziehen
მწუბება	sich suhlen, sich beschmieren / bekleistern
აღმომწუბება	beschmutzen, besudeln
ნწუბება	sich wälzen, sich besudeln, sich suhlen
წბება	aufschlürfen, auflecken, schmatzen
გება	sein, existieren; zulässig sein; opfern; warten, bleiben; wandeln; schaffen
კუალად-გება	wiederherstellen, vergelten
ადგიდ-გება	festlegen, festsetzen, regeln, ordnen
თუალ-გება	ansehen, betrachten, Gefallen finden
სიტყჳს-გება	antworten, streiten
აგება	schaffen, machen, zubereiten, beladen; schaffen, machen, zubereiten, beladen
არდაბაგება	verraten
გაგება	festsetzen, anordnen, zurechtmachen, teilen, regieren, verstehen, gesunden, nachlassen
დაგება	legen, ausbreiten, decken; sich versöhnen; darreichen, hineinlegen, bereiten, darbringen, opfern, vergelten
წინადაგება	decken, reichen, opfern
ქადაგება	predigen, verkünden
წინაქადაგება	prophezeien
მიმოდაგება	sich umwenden, umkehren, zurückkehren
გარდაგება	überdecken, beziehen
შთაგება	einordnen, hineinlegen
დაბუნაგება	sich einnisten
მოვერაგება	heimtückisch sein / machen, schädigen
ძაგება	hassen, verabscheuen, tadeln
დაძაგება	ekeln, anwidern
მოძაგება	verabscheuen
წაგება	verbrauchen, ausgeben, aufwenden, verschwenden; verbrauchen, ausgeben, aufwenden, verschwenden
მაეგება	machen, tun, verwenden
განმაეგება	gewinnen
განლიგება	staunen, verblüfft sein
მიგება	entgelten, vergelten, geben, antworten, umkehren, sich hinwenden, wiederherstellen, sich daraufschmettern
განგება	festsetzen, anordnen, zurechtmachen, teilen, regieren, verstehen, gesunden, nachlassen (Schmerz)
ზოგება	teilen
გაზოგება	halbieren, teilen; halbieren, teilen
განზოგება	halbieren, teilen
მოგება	erhalten, gewinnen, erwerben; entgelten, vergelten; ordnen, wiederherstellen; antworten
გამოგება	Gerten in den Flechtzaun einfügen / einziehen
მიმოგება	verstreuen
უკმოგება	zurückgeben, zurückholen, entgelten; zurückgeben, zurückholen, entgelten
უკუმოგება	zurückgeben, zurückholen, entgelten
აღმოგება	auffüllen, einebnen
რგება	helfen, unterstützen, nützen, Hilfe erhalten
წარგება	verbrauchen, ausgeben, aufwenden, verschwenden
განბორგება	verrückt / wahnsinnig werden
აღბორგება	erregen, empören
ზურგება	helfen
აღგება	schaffen, machen, zubereiten, beladen
დება	legen, setzen, liegen, besitzen, haben, sein, (Netz) auswerfen
თავ-დება	auf sich nehmen, erdulden, ertragen; auf sich nehmen, erdulden, ertragen
ჴელთ-დება	fangen, geben, überreichen
ძალ-დება	können, vermögen
ჴურელ-დება	durchbohren
სახელ-დება	benennen
თავს-დება	auf sich nehmen, erdulden, ertragen
სახელის-დება	benennen, nennen
გულს-დება	überlegen, beabsichtigen, betrübt sein
ბადება	erzeugen, hervorbringen, gebären
დაბადება	gebären, schaffen, erzeugen; geboren werden
დადება	legen, anlegen, festlegen, niederlegen, auflegen, einsetzen, vorlegen, belegen, geben (Namen)
წინადადება	geben, vorlegen, festlegen
ზედადება	auf sich nehmen, sich verpflichtet fühlen; haben
მიმოდადება	(Nachricht) verbreiten
გარდადება	wegwerfen, wegschütten
მზადება	bereiten, vorbereiten, zubereiten
დამზადება	vorbereiten, bereiten, zubereiten
შემზადება	vorbereiten, zubereiten, machen, (Augen) öffnen
განმზადება	vorbereiten, bereiten, bereithalten
მომზადება	bereiten, vorbereiten, zubereiten
წინამომზადება	vorbereiten
აღმომზადება	vorbereiten, bereiten, Vorbereitungen treffen
აღმზადება	vorbereiten, zubereiten, anspornen
შთადება	hinablegen, hineinlegen
მიკადება	hinsenden, hingehen, hinwenden
დაწულილადება	dünn machen
თანადება	verschuldet sein
წინადება	vor sich haben
მონადება	dingen, einstellen
წუადება	sich räkeln
დაწუადება	zerfetzen
ზედაწუადება	herausnehmen, herausziehen
აღმოწუადება	herausreißen
ქადება	drohen, versprechen, prahlen
ღადება	schreien
ღაღადება	schreien, rufen
მოღაღადება	predigen, schreien, rufen
წინაჲსწარღაღადება	prophezeien
ჩადება	hinablegen, hineinlegen; hinablegen, hineinlegen
ცადება	Zeit geben, Zeit lassen, lassen
გაცადება	prüfen
დაცადება	erholen lassen, aufhalten, zurücklassen, verlassen, vergeben, aufhören
განცხადება	aufdecken, enthüllen, offenbaren, aufgedeckt werden, offenbar werden
გამოცხადება	erscheinen, sich zeigen, offenbar werden, erklären, sich offenbaren
წინაგამოცხადება	im voraus benachrichtigen
გდება	schließen; werfen
ჴელთ-გდება	fangen
წილ-გდება	losen
საცთურ-გდება	verführen, verleiten
ღაღადის-გდება	benachrichtigen, mitteilen
ბავთის-გდება	traurig / betrübt machen
წილის-გდება	losen
დაგდება	hinwerfen, wegwerfen, niederwerfen; verlassen, verstoßen, zurücklassen, weglassen; verschließen
გარდაგდება	wegwerfen, herabwerfen, sich hinabstürzen
შთაგდება	hinabwerfen, hineinwerfen
შეგდება	hineinwerfen
მიგდება	niederwerfen, hinwerfen, zurücklassen
გულგდება	belästigen, betrüben
განგდება	hinauswerfen, wegwerfen, vertreiben, entfernen; losen
მოგდება	herwerfen
გამოგდება	herauswerfen, herausjagen, heraustreiben, entfernen
გარდამოგდება	herüberwerfen, herabwerfen
შთამოგდება	herabwerfen
შემოგდება	hereinwerfen, herabwerfen, hereinlassen
წარმოგდება	herabwerfen
აღმოგდება	heraufwerfen, herauswerfen
წარგდება	hinwerfen, niederwerfen, wegwerfen, hinauswerfen
ქუეწარგდება	niederwerfen
უკუგდება	hinauswerfen, fortschicken, zurückschicken
წინამორბედება	überholen
დამდედება	kraftlos werden
მოქმედება	machen, tun
თანმოქმედება	gemeinsam handeln
ქველისმოქმედება	Barmherzigkeit üben
შორისმოქმედება	machen, tun, begehen
ბოროტისმოქმედება	übeltat / Verbrechen begehen
დაჯუარედება	überkreuzen
დამცხუედება	sich verspäten, zögern
შედება	hineinlegen, rings umgeben; überkommen; hinzufügen
თავჴედება	frech sein
მიზდება	einstellen, mieten, anstellen
დამიზდება	in Dienst nehmen, in Dienst stellen, dingen
მიმიზდება	vermieten
მომიზდება	einstellen, in Dienst stellen
დიდება	preisen, verherrlichen, gepriesen werden, groß machen, mehren
გადიდება	vermehren, vergrößern, groß machen / werden, verherrlicht werden; vermehren, vergrößern, groß machen / werden, verherrlicht werden
თანადიდება	gemeinsam verherrlichen
განდიდება	vermehren, vergrößern, groß machen / werden, verherrlicht werden
კიდება	aufhängen, beladen
აკიდება	(sich) aufladen, aufhängen, aufbürden, beladen, belasten; verfolgen; (sich) aufladen, aufhängen, aufbürden, beladen, belasten; verfolgen
დაკიდება	aufhängen
გარდაკიდება	aufladen; begegnen
შთაკიდება	hinabziehen, hinabzerren
ჩამაკიდება	aufhängen; aufhängen
წაკიდება	begegnen, widerfahren; begegnen, widerfahren
ზეკიდება	aufhängen
შეკიდება	umklammern
განკიდება	sich entfernen; aufhängen
მოკიდება	aufhängen, sich anklammern
გამოკიდება	aufhängen, daranhängen
დამოკიდება	aufhängen, sich aufhängen
ჩამოკიდება	aufhängen
წარმოკიდება	sich aufladen
წარკიდება	begegnen, widerfahren
აღკიდება	(sich) aufladen, aufhängen, aufbürden, beladen, belasten; verfolgen
მიდება	hinlegen, hinbreiten, auf sich nehmen
რიდება	meiden, sich in acht nehmen, sich schämen, sich scheuen, sich entfernen
დარიდება	meiden
მირიდება	meiden, sich entfernen
მორიდება	sich zurückhalten, meiden, sich entfernen
სყიდება	verkauft werden
მისყიდება	sich verkaufen
გულდება	ermuntern
განდება	hinaustragen, hinausschaffen, hinauslegen
შეპალავანდება	(sich) belasten, bepacken
დაწინდება	sich verloben
განწინდება	verpfänden
გოდება	klagen, trauern, Trauerlieder singen
დალოდება	warten, warten lassen
მილოდება	warten
მოლოდება	warten, erwarten
მოდება	umhüllen, anwerfen
გამოდება	herauswerfen
გარდამოდება	herablegen, darüberlegen
გარემოდება	herumlegen, einfrieden, herumsetzen, überdecken
შემოდება	sich unterlegen
მიმოდება	verbreiten (Nachricht), verkünden
დარჩოდება	wiederholen
შეცოდება	sündigen, verbrechen, verfehlen, beleidigen
თანაწარცოდება	sich vom Hals schaffen
გარეწარცოდება	vorübergehen, vorüberlassen
წოდება	herbeirufen, einladen, sagen, nennen, benennen, berufen
წინაწოდება	rufen
შეწოდება	ins Haus einladen
მიწოდება	herrufen, einladen
მოწოდება	herrufen, herholen, einladen, versammeln, berufen
გამოწოდება	herausrufen
გარდამოწოდება	herabrufen
შემოწოდება	herbeirufen, hereinrufen
უკმოწოდება	zurückrufen, zu sich rufen
აღმოწოდება	heraufrufen
აღწოდება	hinaufrufen
აღმოჴუარდება	herauswerfen
მიფარდება	kaufen
განკორდება	verwildern (Acker)
ბუდება	unterbringen, einnisten
დაბუდება	sich einnisten
უკუდება	hinter sich legen
მრუდება	verziehen, krumm machen
დამრუდება	krümmen; zornig werden
განმრუდება	ändern
დაყუდება	haltmachen, verstummen, sich beruhigen, Mönch werden
დაცუდება	vergebens machen
აღდება	anzünden; beladen, auferlegen
დამშჳდება	beruhigen, sich beruhigen
მომშჳდება	beruhigen, besänftigen
განგარეება	entfernen, vertreiben
პურისმტეება	gemeinsam essen
ქუეება	kleiner sein
საფრჴეება	stören, behindern
მოსაფრჴეება	Falle stellen
ზავება	vermischen
დაზავება	versöhnen; vermischen
შეზავება	vermischen, anrichten, verbinden, versöhnen
თანაშეზავება	passend / geeignet sein
განზავება	mischen, vermischen
მოზავება	entsprechen, geeignet sein
განსხუაჴმავება	unterscheiden, vereinzeln
დამჟავება	säuern
აღზუავება	stolz / hochmütig machen
გამოყუავება	Blüten treiben
აღყუავება	aufblühen
აქავება	zu lärmen beginnen
აღქავება	mit Lärm erfüllen
აღჟღავება	losrufen, aufschreien, lärmen
დაშავება	schwarz machen / werden, schreiben
მოშავება	verdunkeln, schwärzen
სწავება	lehren, unterrichten; lernen
დასწავება	lernen
შესწავება	lernen, begreifen, beobachten
მისწავება	andeuten, anspielen
მოსწავება	Zeichen geben, hinweisen
წინამოსწავება	ankündigen, Zeichen geben
მიხედვება	ansehen lassen
ცოდვება	sündigen lassen
განკიდევება	entfernen
ნაძილევება	träumen
მომძლევება	besiegen, bezwingen
ტევება	lassen, dalassen, weglassen, zulassen, erlauben, überlassen, verlassen; überfallen
გატევება	hinauslassen, weglassen, freilassen, entlassen, (Seele) aushauchen; hinauslassen, weglassen, freilassen, entlassen, (Seele) aushauchen
დატევება	dalassen, zurücklassen, verlassen, entlassen, unterlassen, aufgeben
გარდატევება	hinablassen
შთატევება	hinablassen, nachlassen
